Project number,The data,Region,Granted support,Electricity consumption of the grid,Primary energy consumption before ,Current inverter set power,Inverter power in project,Electricity produced by solar panels,Primary energy consumption after ,Reduction of primary energy,CO2 emissions reduction
PME2-2060,03.04.2023,Rīga,4000,4.65,11.63,0,10,9.09,-2.01,13.64,0.99
PME2-1942,03.04.2023,Latgale,3500,8.21,20.53,0,8,8.21,8.21,12.32,0.89
PME2-2058,03.04.2023,Vidzeme,1800,3.52,8.8,0,3,3,4.3,4.5,0.33
PME2-2035,02.04.2023,Vidzeme,4000,10.9,27.25,0,11.7,10.55,11.43,15.83,1.15
PME2-2007,01.04.2023,Rīga,4000,14.28,35.7,0,10,8.7,22.65,13.05,0.95
PME2-2050,30.03.2023,Rīga,4000,4.79,11.98,0,10,6.44,2.32,9.66,0.7
PME2-2021,30.03.2023,Rīga,4000,7.87,19.68,0,11.34,10,4.68,15,1.09
PME2-2003,29.03.2023,Rīga,4000,13.91,34.78,0,10,13.8,14.08,20.7,1.5
PME2-2028,28.03.2023,Kurzeme,4000,16.41,41.03,0,11,12.87,21.72,19.31,1.4
PME2-2030,27.03.2023,Rīga,700,4.04,10.1,3.75,4.2,4.87,2.8,7.31,0.53
PME2-2000,27.03.2023,Zemgale,4000,5.06,12.65,0,6,6.13,3.46,9.2,0.67
PME2-2027,27.03.2023,Latgale,2200,1.91,4.78,0,4,4,-1.23,6,0.44
PME2-2024,27.03.2023,Rīga,3500,5.62,14.05,0,8,5,6.55,7.5,0.55
PME2-1998,27.03.2023,Rīga,4000,13.2,33,0,10,10,18,15,1.09
PME2-2005,26.03.2023,Kurzeme,3500,7.63,19.08,0,8,8.6,6.18,12.9,0.94
PME2-2020,26.03.2023,Rīga,2800,4.67,11.68,0,6,5.31,3.71,7.97,0.58
PME2-1989,24.03.2023,Rīga,4000,10.84,27.1,0,10,11.04,10.54,16.56,1.2
PME2-2011,23.03.2023,Kurzeme,2800,2.87,7.18,0,6.7,7.5,-4.08,11.25,0.82
PME2-1987,21.03.2023,Latgale,2500,4.57,11.43,0,5,4.7,4.38,7.05,0.51
PME2-1999,20.03.2023,Rīga,3500,7.29,18.23,0,8,7.04,7.67,10.56,0.77
PME2-1986,17.03.2023,Kurzeme,3500,3.1,7.75,0,8,7.68,-3.77,11.52,0.84
PME2-1895,17.03.2023,Rīga,1800,6.27,15.68,0,3.68,3.77,10.02,5.66,0.41
PME2-1991,17.03.2023,Zemgale,4000,2.83,7.08,0,10,8.3,-5.38,12.45,0.9
PME2-1990,16.03.2023,Rīga,2800,4.63,11.58,0,6,4.8,4.38,7.2,0.52
PME2-1953,16.03.2023,Rīga,3500,7.26,18.15,0,8,8.11,5.99,12.17,0.88
PME2-1983,14.03.2023,Rīga,2200,7.6,19,0,4,2.54,15.19,3.81,0.28
PME2-1973,14.03.2023,Rīga,3500,5.95,14.88,0,8,7.8,3.18,11.7,0.85
PME2-1965,14.03.2023,Rīga,4000,21.08,52.7,0,11.1,12,34.7,18,1.31
PME2-1892,14.03.2023,Rīga,1800,5.77,14.43,0,3.68,4.68,7.41,7.02,0.51
PME2-1971,14.03.2023,Rīga,4000,3.13,7.83,0,10,7.8,-3.88,11.7,0.85
PME2-1979,11.03.2023,Kurzeme,3800,8.59,21.48,0,9,9.93,6.58,14.9,1.08
PME2-1972,10.03.2023,Rīga,3500,6.4,16,0,8,6.23,6.66,9.35,0.68
PME2-1966,09.03.2023,Rīga,2200,5.44,13.6,0,4,4.05,7.53,6.08,0.44
PME2-1961,08.03.2023,Rīga,3500,6.63,16.58,0,8,8.69,3.54,13.04,0.95
PME2-1968,08.03.2023,Vidzeme,2500,9.23,23.08,6,11,5.67,14.57,8.51,0.62
PME2-1955,07.03.2023,Zemgale,4000,4.42,11.05,0,11,9.98,-3.92,14.97,1.09
PME2-1956,06.03.2023,Rīga,4000,1.67,4.18,0,10,5.21,-3.64,7.82,0.57
PME2-1959,05.03.2023,Rīga,2800,4.67,11.68,0,6,5.3,3.73,7.95,0.58
PME2-1957,04.03.2023,Zemgale,2800,2.14,5.35,0,6,6.18,-3.92,9.27,0.67
PME2-1898,05.03.2023,Rīga,1400,3.66,9.15,0,2.2,3.05,4.58,4.58,0.33
PME2-1878,03.03.2023,Rīga,3200,1.59,3.98,0,7.6,9.98,-11,14.97,1.09
PME2-1939,01.03.2023,Rīga,3500,13.07,32.68,0,8,8.1,20.53,12.15,0.88
PME2-1916,01.03.2023,Rīga,4000,4.82,12.05,0,10,10.3,-3.4,15.45,1.12
PME2-1864,01.03.2023,Rīga,4000,7.7,19.25,0,11,12,1.25,18,1.31
PME2-1938,28.02.2023,Vidzeme,3500,7.89,19.73,0,8,8.17,7.47,12.26,0.89
PME2-1907,28.02.2023,Rīga,4000,10.49,26.23,0,11,10.71,10.16,16.07,1.17
PME2-1937,28.02.2023,Rīga,4000,8.42,21.05,0,10,8.69,8.02,13.04,0.95
PME2-1537,27.02.2023,Kurzeme,3500,5.35,13.38,0,8.8,8.27,0.97,12.41,0.9
PME2-1921,27.02.2023,Zemgale,4000,6.82,17.05,0,10,8.3,4.6,12.45,0.9
PME2-1934,26.02.2023,Rīga,3500,7.32,18.3,0,8,7.8,6.6,11.7,0.85
PME2-1913,24.02.2023,Kurzeme,4000,9.77,24.43,0,10,10.17,9.17,15.26,1.11
PME2-1928,24.02.2023,Rīga,4000,10.76,26.9,0,11.1,10.4,11.3,15.6,1.13
PME2-1932,24.02.2023,Rīga,4000,11.14,27.85,0,10,9.5,13.6,14.25,1.04
PME2-1927,24.02.2023,Kurzeme,4000,3.69,9.23,0,11.1,11.65,-8.25,17.48,1.27
PME2-1918,24.02.2023,Rīga,2500,3.22,8.05,0,5.4,4.86,0.76,7.29,0.53
PME2-1919,23.02.2023,Zemgale,1800,5.26,13.15,0,3.68,4.05,7.08,6.08,0.44
PME2-1904,21.02.2023,Rīga,3200,6.71,16.78,0,7.68,6.97,6.32,10.46,0.76
PME2-1890,21.02.2023,Latgale,4000,3.36,8.4,0,10,8.7,-4.65,13.05,0.95
PME2-1910,18.02.2023,Rīga,2800,3.83,9.58,0,6,5.5,1.33,8.25,0.6
PME2-1905,17.02.2023,Rīga,3500,5.43,13.58,0,8,6.9,3.23,10.35,0.75
PME2-1894,14.02.2023,Rīga,4000,11.46,28.65,0,10,12.64,9.69,18.96,1.38
PME2-1862,15.02.2023,Zemgale,4000,6.34,15.85,0,10,8.23,3.51,12.35,0.9
PME2-1869,14.02.2023,Rīga,4000,4.71,11.78,0,11.1,9.9,-3.08,14.85,1.08
PME2-1893,14.02.2023,Rīga,2800,1.7,4.25,0,6,4.29,-2.19,6.44,0.47
PME2-1889,14.02.2023,Zemgale,3500,3.22,8.05,0,8,8.6,-4.85,12.9,0.94
PME2-1806,06.02.2023,Rīga,3800,4.19,10.48,0,9,3.78,4.81,5.67,0.41
PME2-1615,03.02.2023,Rīga,4000,7.91,19.78,0,10,11.9,1.93,17.85,1.3
PME2-1866,03.02.2023,Zemgale,2500,4.04,10.1,0,5,6.43,0.46,9.65,0.7
PME2-1874,03.02.2023,Rīga,4000,10.7,26.75,0,11.1,11.81,9.04,17.72,1.29
PME2-1858,01.02.2023,Kurzeme,4000,4.67,11.68,0,11.1,11.65,-5.8,17.48,1.27
PME2-1867,31.01.2023,Zemgale,4000,10.44,26.1,0,11.1,11,9.6,16.5,1.2
PME2-1840,27.01.2023,Rīga,4000,11.15,27.88,0,10.25,10.5,12.13,15.75,1.14
PME2-1848,25.01.2023,Rīga,4000,3,7.5,0,10,10,-7.5,15,1.09
PME2-1857,24.01.2023,Rīga,4000,4.98,12.45,0,11.1,10.5,-3.3,15.75,1.14
PME2-1690,19.01.2023,Rīga,4000,11,27.5,0,10,12.41,8.89,18.62,1.35
PME2-1836,19.01.2023,Kurzeme,4000,10.57,26.43,0,10,11.06,9.84,16.59,1.21
PME2-1844,19.01.2023,Vidzeme,3200,2.1,5.25,3.8,11.1,6.41,-4.37,9.62,0.7
PME2-1843,19.01.2023,Rīga,3500,5.17,12.93,0,8.5,8.1,0.78,12.15,0.88
PME2-1559,19.01.2023,Rīga,4000,18.06,45.15,0,11.1,14.23,23.81,21.35,1.55
PME2-1837,18.01.2023,Rīga,3500,4.43,11.08,0,8,6.9,0.72,10.35,0.75
PME2-1831,17.01.2023,Rīga,4000,12.99,32.48,0,11.1,13.68,11.96,20.52,1.49
PME2-1832,17.01.2023,Latgale,3500,4.65,11.63,0,8,7.08,1.01,10.62,0.77
PME2-1761,28.12.2022,Rīga,4000,3.58,8.95,0,11.1,9.42,-5.18,14.13,1.03
PME2-1818,16.01.2023,Rīga,3500,4.17,10.43,0,8,7.1,-0.23,10.65,0.77
PME2-1814,13.01.2023,Zemgale,1400,4.04,10.1,8.5,11.1,2.65,6.13,3.98,0.29
PME2-1659,13.01.2023,Rīga,4000,2,5,0,5.5,3,0.5,4.5,0.33
PME2-1827,13.01.2023,Rīga,4000,11.47,28.68,0,10,9.61,14.26,14.42,1.05
PME2-1813,12.01.2023,Rīga,2800,4.62,11.55,0,6.75,5.79,2.87,8.69,0.63
PME2-1785,12.01.2023,Rīga,3500,7.62,19.05,0,8.5,6.8,8.85,10.2,0.74
PME2-1820,11.01.2023,Rīga,4000,8.9,22.25,0,10,10.72,6.17,16.08,1.17
PME2-1823,11.01.2023,Rīga,4000,10.1,25.25,1.1,11.1,6,16.25,9,0.65
PME2-1817,10.01.2023,Rīga,4000,6.88,17.2,0,11.1,8.82,3.97,13.23,0.96
PME2-1819,10.01.2023,Rīga,1800,2.5,6.25,0,3,2.69,2.22,4.04,0.29
PME2-1810,09.01.2023,Rīga,3500,2.81,7.03,0,8,4.9,-0.33,7.35,0.53
PME2-1811,09.01.2023,Rīga,3500,4.67,11.68,0,8,8.1,-0.48,12.15,0.88
PME2-1763,09.01.2023,Zemgale,2800,2.85,7.13,0,6,5.53,-1.17,8.3,0.6
PME2-1804,09.01.2023,Rīga,2800,7.83,19.58,0,6.2,4.43,12.93,6.65,0.48
PME2-1802,08.01.2023,Kurzeme,2800,6.69,16.73,0,6,6.7,6.68,10.05,0.73
PME2-1706,08.01.2023,Rīga,4000,5.04,12.6,0,10,6.1,3.45,9.15,0.66
PME2-1547,04.01.2023,Latgale,4000,8.75,21.88,0,11,10.7,5.83,16.05,1.17
PME2-1788,01.01.2023,Rīga,2800,5.01,12.53,0,6,6.75,2.4,10.13,0.74
PME2-1776,29.12.2022,Rīga,4000,6.89,17.23,0,11.1,11.97,-0.73,17.96,1.3
PME2-1779,23.12.2022,Rīga,2500,2.62,6.55,0,5,5.32,-1.43,7.98,0.58
PME2-1777,23.12.2022,Rīga,3800,9.6,24,1,10,6,15,9,0.65
PME2-1778,22.12.2022,Rīga,2800,3.84,9.6,0,6,5.05,2.03,7.58,0.55
PME2-1768,21.12.2022,Zemgale,4000,2.4,6,0,11.1,12,-12,18,1.31
PME2-1775,20.12.2022,Vidzeme,3500,1.58,3.95,0,8,7.38,-7.12,11.07,0.8
PME2-1767,15.12.2022,Vidzeme,4000,5.09,12.73,0,10,9.9,-2.13,14.85,1.08
PME2-1701,14.12.2022,Kurzeme,2500,4.86,12.15,0,5,5.8,3.45,8.7,0.63
PME2-1598,13.12.2022,Rīga,3500,3.25,8.13,0,8,5.16,0.39,7.74,0.56
PME2-1634,13.12.2022,Vidzeme,4000,29.23,73.08,0,10,11,56.58,16.5,1.2
PME2-1755,11.12.2022,Rīga,4000,5.53,13.83,0,10,5.08,6.21,7.62,0.55
PME2-1744,07.12.2022,Rīga,4000,17.6,44,0,11.1,10,29,15,1.09
PME2-1739,06.12.2022,Rīga,2200,1.9,4.75,0,4.5,4.7,-2.3,7.05,0.51
PME2-1660,05.12.2022,Latgale,4000,3.06,7.65,0,10,6.77,-2.51,10.16,0.74
PME2-1510,04.12.2022,Kurzeme,1800,5.33,13.33,0,3.6,3.5,8.08,5.25,0.38
PME2-1731,03.12.2022,Rīga,4000,9.46,23.65,0,11.02,10.27,8.25,15.41,1.12
PME2-1730,02.12.2022,Rīga,4000,2.72,6.8,0,10.8,11.34,-10.21,17.01,1.24
PME2-1548,02.12.2022,Rīga,4000,17.46,43.65,0,10,11.22,26.82,16.83,1.22
PME2-1718,30.11.2022,Vidzeme,4000,10.32,25.8,0,10,7.2,15,10.8,0.78
PME2-1707,30.11.2022,Rīga,2800,4.72,11.8,0,6.8,6.12,2.62,9.18,0.67
PME2-1698,29.11.2022,Rīga,4000,2.25,5.63,0,11,8.73,-7.47,13.1,0.95
PME2-1713,29.11.2022,Rīga,2500,4.57,11.43,0,5.32,5.05,3.85,7.58,0.55
PME2-1705,27.11.2022,Rīga,2200,5.41,13.53,0,4,3.58,8.16,5.37,0.39
PME2-1697,25.11.2022,Zemgale,2800,5.64,14.1,0,6,4.5,7.35,6.75,0.49
PME2-1688,25.11.2022,Zemgale,4000,9.91,24.78,0,11,10,9.78,15,1.09
PME2-1700,24.11.2022,Latgale,2800,5.18,12.95,0,6,5.95,4.03,8.93,0.65
PME2-1641,23.11.2022,Zemgale,3800,2.88,7.2,0,9.8,9.2,-6.6,13.8,1
PME2-1680,22.11.2022,Rīga,2800,5.56,13.9,0,6,6.75,3.78,10.13,0.74
PME2-1643,21.11.2022,Rīga,3500,4.66,11.65,0,8.66,6.6,1.75,9.9,0.72
PME2-1078,21.11.2022,Rīga,4000,14.56,36.4,0,10.1,10.09,21.27,15.14,1.1
PME2-1668,21.11.2022,Rīga,2200,3.74,9.35,0,4.5,4.97,1.9,7.46,0.54
PME2-1675,17.11.2022,Rīga,4000,9.46,23.65,0,11.02,10.27,8.25,15.41,1.12
PME2-1481,21.11.2022,Vidzeme,4000,2.04,5.1,0,11.04,10.2,-10.2,15.3,1.11
PME2-1669,17.11.2022,Rīga,2800,6.53,16.33,0,6,7.29,5.39,10.94,0.79
PME2-1671,17.11.2022,Kurzeme,1800,3.5,8.75,0,3.6,4,2.75,6,0.44
PME2-1487,17.11.2022,Rīga,3500,7.31,18.28,0,8.8,8,6.28,12,0.87
PME2-1505,16.11.2022,Rīga,4000,11.44,28.6,0,11,11.04,12.04,16.56,1.2
PME2-1569,16.11.2022,Rīga,4000,15.55,38.88,0,11.1,12.95,19.45,19.43,1.41
